episode,orig_s,trimmed_s,new_s,speedup,n_segments,n_pauses,retimed_frac,vel_ratio_max,acc_ratio_max,vel_ratio_p99,acc_ratio_p99,demo_vel_ratio_max,demo_acc_ratio_max,steps
122,40.0000,40.0000,30.9333,1.2931,18,17,0.9030,1.1124,1.4784,0.7299,0.7519,1.9251,2.1030,3
123,40.0333,33.8333,26.1667,1.5299,11,10,0.9669,1.1082,1.0890,0.7884,0.7751,1.7168,1.6722,3
124,40.0000,40.0000,29.7667,1.3438,16,15,0.9440,1.1549,1.2336,0.7668,0.7508,4.3352,2.6961,3
125,40.0333,38.3667,29.9333,1.3374,15,14,0.9811,1.1173,1.0943,0.8030,0.7393,1.4735,1.6349,3
126,40.0333,37.1333,29.3000,1.3663,12,11,0.7770,1.4831,1.3159,0.7614,0.7353,4.0679,2.8482,3
127,40.0000,38.0667,30.1000,1.3289,9,8,0.9524,1.1400,1.2123,0.8029,0.7380,1.9362,1.6022,3
128,40.0333,37.9333,27.0333,1.4809,14,13,0.9605,1.4858,1.4519,0.6994,0.7495,2.5244,3.3284,3
129,40.0000,39.5333,29.0333,1.3777,19,18,0.9047,1.0926,1.0715,0.7561,0.7447,1.5340,1.4701,3
130,40.0333,38.9667,25.3667,1.5782,17,16,0.9514,1.0520,1.1709,0.7424,0.7126,1.4813,1.4382,3
131,40.0000,38.7667,27.1000,1.4760,20,19,0.9237,1.0636,1.0726,0.6706,0.7146,1.3705,1.3889,3
132,40.0333,40.0000,27.6000,1.4505,18,17,0.9722,1.0504,1.0485,0.7325,0.7223,1.3276,1.5850,3
133,40.0333,36.9333,26.4667,1.5126,15,14,0.8741,1.0596,1.1180,0.7165,0.7141,1.2946,1.4492,3
134,40.0000,40.0000,30.1333,1.3274,22,21,0.7954,1.5424,1.7819,0.6360,0.7189,4.2687,3.0470,3
135,40.0000,40.0000,29.2333,1.3683,20,19,0.8620,1.1038,1.1560,0.6922,0.7343,1.4561,1.5990,3
136,40.0000,36.5667,27.9667,1.4303,17,16,0.7306,1.0399,0.9746,0.7217,0.7287,1.7200,1.7667,3
137,40.0000,37.6333,26.9667,1.4833,17,16,0.9246,1.0691,1.0694,0.7630,0.7395,1.5728,1.7057,3
138,40.0000,39.6667,28.9000,1.3841,17,16,0.7924,1.1295,1.0017,0.7223,0.6985,3.3929,2.3516,3
139,40.0333,40.0333,29.7667,1.3449,12,11,0.9462,1.0687,1.0753,0.7931,0.7518,1.5543,1.6830,3
140,40.0333,38.7000,28.0000,1.4298,14,13,0.9190,1.0590,1.1010,0.7999,0.7130,1.4261,1.4645,3
141,40.0000,40.0000,30.0000,1.3333,17,16,0.7522,1.1048,1.5202,0.7878,0.7161,2.3928,3.3495,3
142,40.0000,39.3667,31.2667,1.2793,8,7,0.7932,1.1477,1.2514,0.8567,0.7548,2.4065,2.2922,3
143,40.0333,40.0333,30.2667,1.3227,12,11,0.9615,1.2768,1.1976,0.8844,0.6891,5.6216,3.0308,3
144,40.0333,39.0333,29.6333,1.3510,11,10,0.9944,1.1202,1.0869,0.8910,0.7156,2.3105,1.8951,3
145,40.0000,40.0000,30.8667,1.2959,13,12,0.8790,1.3758,1.5065,0.8274,0.7595,2.2986,2.4461,3
