episode,duration_s,idle_start_s,idle_end_s,pause_s,n_pauses,short_idle_s,active_s,left_active_s,right_active_s,both_active_s,left_path_rad,right_path_rad,left_reversals,right_reversals,left_grip_events,right_grip_events,idle_s,idle_frac,action_lag_frames
147,40.0333,0.4667,0.0000,8.2333,13,2.1333,29.2000,13.7667,16.0333,0.6000,5.8693,6.4864,8,6,2,4,10.8333,0.2706,3
148,40.0333,1.4667,0.0000,8.0000,13,1.1000,29.4667,13.4667,16.6667,0.6667,4.9704,7.0813,6,13,1,4,10.5667,0.2639,3
149,40.0000,0.0000,0.0000,8.8333,14,1.5000,29.6667,12.7333,17.4000,0.4667,5.3135,7.0188,8,13,2,4,10.3333,0.2583,3
150,40.0333,3.5000,0.0000,6.8667,11,0.9333,28.7333,17.4333,12.2667,0.9667,8.0340,5.7119,21,9,2,4,11.3000,0.2823,3
151,40.0333,0.0000,0.0000,15.0333,20,0.7333,24.2667,8.5000,16.2333,0.4667,3.2254,7.2092,5,17,2,2,15.7667,0.3938,3
152,40.0333,0.0000,0.2000,4.6333,10,0.8000,34.4000,15.1667,24.2000,4.9667,8.1917,10.2961,7,22,2,5,5.6333,0.1407,3
153,40.0333,0.0000,0.9000,7.2333,8,0.4333,31.4667,18.1000,24.0333,10.6667,8.5185,10.7208,17,10,2,3,8.5667,0.2140,3
154,40.0333,0.0000,0.0000,3.1667,6,1.1333,35.7333,20.6667,30.3333,15.2667,9.2742,16.3349,10,42,3,6,4.3000,0.1074,3
155,40.0333,0.3333,0.0000,5.7333,11,1.9667,32.0000,24.9333,17.9000,10.8333,11.4557,7.4334,25,10,4,2,8.0333,0.2007,3
156,40.0333,0.0000,0.5000,10.4333,15,0.8667,28.2333,14.3000,15.9667,2.0333,5.0615,6.0493,8,13,3,4,11.8000,0.2948,3
157,40.0000,0.0000,0.0000,6.2000,11,2.0000,31.8000,18.9667,20.1333,7.3000,8.7825,8.0404,20,11,2,4,8.2000,0.2050,3
158,40.0333,0.9000,0.6667,4.4667,9,1.8667,32.1333,20.2000,17.9667,6.0333,9.7004,7.8725,18,13,2,4,7.9000,0.1973,3
159,40.0333,0.7333,0.0000,7.5667,13,1.3333,30.4000,15.7667,16.4667,1.8333,6.7250,5.7524,7,11,2,4,9.6333,0.2406,3
160,40.0333,0.0000,2.0667,4.1333,8,1.3667,32.4667,16.3333,19.9667,3.8333,8.0015,9.5427,10,17,2,4,7.5667,0.1890,3
161,40.0333,0.0000,0.0000,5.4667,12,2.0333,32.5333,18.4333,15.1333,1.0333,8.5108,8.8635,18,13,5,4,7.5000,0.1873,3
162,40.0333,0.1333,0.2667,6.7333,10,2.1333,30.7667,17.1000,13.8333,0.1667,7.2023,6.8755,16,7,4,4,9.2667,0.2315,3
163,40.0333,0.6333,4.4000,6.0667,10,1.8667,27.0667,12.8000,16.2333,1.9667,7.9920,8.0922,12,6,2,2,12.9667,0.3239,3
164,40.0333,0.0000,1.5000,6.5667,11,0.8333,31.1333,15.5667,16.9667,1.4000,7.9164,10.0896,11,18,2,2,8.9000,0.2223,3
165,40.0000,1.1000,3.3000,6.8667,10,1.3000,27.4333,14.9667,14.0000,1.5333,8.9568,7.9811,13,8,2,4,12.5667,0.3142,3
166,40.0000,0.4333,4.3000,5.8333,11,0.8333,28.6000,14.5333,14.2333,0.1667,7.2905,8.6164,11,8,2,4,11.4000,0.2850,3
167,40.0000,0.5333,1.1667,8.0000,15,1.3000,29.0000,15.4000,14.6333,1.0333,7.9873,7.9269,12,9,2,4,11.0000,0.2750,3
168,40.0333,1.0333,4.8333,5.4333,12,1.8000,26.9333,13.9333,15.1667,2.1667,8.2529,7.9347,14,14,2,4,13.1000,0.3272,3
169,40.0000,0.0000,0.0000,8.3667,17,2.2000,29.4333,16.3000,13.2333,0.1000,8.4404,6.4198,15,10,3,4,10.5667,0.2642,3
170,27.2667,0.0000,0.2667,4.2333,6,0.2333,22.5333,20.0000,10.9667,8.4333,12.7866,8.0713,22,16,0,1,4.7333,0.1736,3
