episode,orig_s,trimmed_s,new_s,speedup,n_segments,n_pauses,retimed_frac,vel_ratio_max,acc_ratio_max,vel_ratio_p99,acc_ratio_p99,demo_vel_ratio_max,demo_acc_ratio_max,steps
143,40.0333,40.0333,35.1000,1.1406,12,11,0.1026,0.2575,0.7859,0.1018,0.2743,5.6216,3.0308,3
144,40.0333,39.0333,35.8667,1.1162,11,10,0.0827,0.2257,1.0106,0.1071,0.2045,2.3105,1.8951,3
145,40.0000,40.0000,36.1000,1.1080,13,12,0.0979,0.3247,1.0402,0.1248,0.2634,2.2986,2.4461,3
146,40.0333,40.0333,35.3000,1.1341,15,14,0.1209,0.4022,0.7948,0.1031,0.2623,5.7401,3.5974,3
147,40.0333,39.6667,34.9667,1.1449,14,13,0.1134,0.3218,0.6712,0.1180,0.3025,1.6208,1.5839,3
148,40.0333,38.6667,33.7000,1.1879,14,13,0.1029,0.1688,0.6650,0.0868,0.2214,1.9860,2.1584,3
149,40.0000,40.0000,34.8333,1.1483,15,14,0.1196,0.2884,0.9341,0.0728,0.2210,2.4845,2.5078,3
150,40.0333,36.6333,32.7333,1.2230,12,11,0.1018,0.1651,0.6430,0.1021,0.2548,2.4251,1.9812,3
151,40.0333,40.0333,31.0667,1.2886,21,20,0.2167,0.3311,0.9058,0.1358,0.2544,3.2166,1.9963,3
152,40.0333,39.9333,37.6333,1.0638,11,10,0.0709,0.3551,0.9900,0.1763,0.3848,3.5432,2.9062,3
153,40.0333,39.2333,34.9000,1.1471,9,8,0.0907,0.2802,0.7781,0.1176,0.1783,3.8583,2.8860,3
154,40.0333,40.0333,38.4333,1.0416,7,6,0.0460,0.4673,1.2478,0.1345,0.2343,4.5371,2.7057,3
155,40.0333,39.8000,36.7667,1.0888,12,11,0.0843,0.2858,0.7874,0.1059,0.2488,2.9992,3.3235,3
156,40.0333,39.6333,33.3000,1.2022,16,15,0.1391,0.2423,0.5842,0.1025,0.1862,2.4769,2.1319,3
157,40.0000,40.0000,36.7000,1.0899,12,11,0.0890,0.3279,0.8774,0.1238,0.3164,7.1612,3.4823,3
158,40.0333,38.6667,36.6000,1.0938,10,9,0.0747,0.3142,0.8939,0.1726,0.2484,2.0616,2.0343,3
159,40.0333,39.4000,35.5000,1.1277,14,13,0.1155,0.3278,0.8363,0.1785,0.2749,1.7314,1.9969,3
160,40.0333,38.0667,35.7667,1.1193,9,8,0.0587,0.2165,0.5220,0.0662,0.2276,4.1656,2.5719,3
161,40.0333,40.0333,37.1333,1.0781,13,12,0.0808,0.2441,1.0421,0.1251,0.3016,1.7238,1.7084,3
162,40.0333,39.8333,35.7667,1.1193,11,10,0.0839,0.2196,0.6644,0.1095,0.2829,2.6507,2.1414,3
163,40.0333,35.2000,32.0667,1.2484,11,10,0.1019,0.2858,0.5377,0.1458,0.2073,3.9025,2.8660,3
164,40.0333,38.6333,34.9667,1.1449,12,11,0.0944,0.2641,0.6819,0.0893,0.2581,3.2553,2.7735,3
165,40.0000,35.8000,31.7667,1.2592,11,10,0.1007,0.1817,0.9957,0.0871,0.2142,2.2533,2.1081,3
166,40.0000,35.4667,32.3333,1.2371,12,11,0.0959,0.1891,0.6398,0.0886,0.2105,2.2813,2.1070,3
167,40.0000,38.5000,34.5000,1.1594,16,15,0.1304,0.2364,0.6854,0.0863,0.2019,2.3618,2.2676,3
168,40.0333,34.3667,31.6667,1.2642,13,12,0.1000,0.3117,1.0092,0.0870,0.2261,3.8978,2.4124,3
169,40.0000,40.0000,35.6667,1.1215,18,17,0.1290,0.2472,0.6536,0.0958,0.2054,3.3027,2.0687,3
170,27.2667,27.1000,24.7333,1.1024,7,6,0.0849,0.2859,0.7575,0.1798,0.2918,5.5023,4.5856,3
171,40.0000,39.3667,37.1333,1.0772,9,8,0.0637,0.2990,0.5986,0.1036,0.2397,2.9020,2.1565,3
172,40.0333,40.0333,36.2000,1.1059,14,13,0.1041,0.3734,1.6090,0.1223,0.2702,7.1602,3.8276,3
173,40.0000,39.0667,33.5333,1.1928,11,10,0.1332,0.2992,0.5944,0.1555,0.2079,2.4332,2.2693,3
174,40.0333,39.2000,34.0000,1.1775,11,10,0.1069,0.3366,0.7107,0.1436,0.2735,2.6950,2.4060,3
175,40.0000,38.3667,34.3667,1.1639,12,11,0.1077,0.2411,0.7167,0.1294,0.2588,7.9802,4.7571,3
176,40.0333,40.0000,34.6667,1.1548,13,12,0.1250,0.2894,0.7387,0.1384,0.2161,5.8265,2.8996,3
177,40.0000,40.0000,35.4333,1.1289,11,10,0.1110,0.2791,0.6972,0.1258,0.2681,7.5039,3.9545,3
178,40.0333,39.1333,33.0333,1.2119,11,10,0.1029,0.1967,0.6383,0.0849,0.1904,2.4399,2.1066,3
179,40.0333,40.0333,35.5667,1.1256,14,13,0.1078,0.2078,0.5673,0.0994,0.2434,8.1938,3.8340,3
180,40.0000,38.9333,31.8333,1.2565,16,15,0.1686,0.3150,0.7644,0.1336,0.2544,1.3909,1.3912,3
181,40.0000,40.0000,35.3000,1.1331,14,13,0.1209,0.3168,0.7954,0.1028,0.2477,1.2369,1.3569,3
182,40.0000,39.7333,33.5000,1.1940,18,17,0.1522,0.2019,0.6942,0.1134,0.2262,1.2421,1.4575,3
183,40.0333,38.5000,33.9333,1.1798,13,12,0.1159,0.2617,0.8947,0.1092,0.2584,1.4683,1.8164,3
